門名,管制區域
（物理）化學系2F連通走道,成功校區 物理系
1F超導核磁共振室,成功校區 化學系超導核磁共振室
C-HUB_2F後門,光復校區 C-HUB
力行校區_生科大樓汽車,力行校區 生科大樓汽機車
力行校區_生科大樓汽機車GCU,力行校區 生科大樓汽機車
力行校區_生科大樓機車,力行校區 生科大樓汽機車
力行校區_社科院旁機車GCU,力行校區 社科院旁機車
力行校區_社科院旁機車進,力行校區 社科院旁機車
三百人階梯教室右門,成功校區 理學院大樓門禁
三百人階梯教室左門,成功校區 理學院大樓門禁
土木系_土壤試驗室4515,成功校區 土木系-結構材料實驗室
土木系-卓群大樓3F_47350,成功校區 土木系-卓群大樓
土木系-卓群大樓5F_47550,成功校區 土木系-卓群大樓
土木系-卓群大樓5F-47550-3,成功校區 土木系-卓群大樓
土木系-卓群大樓B1_47x39,成功校區 土木系-卓群大樓
土木系-結構材料實驗室_北側門,成功校區 土木系-結構材料實驗室
土木系-結構材料實驗室_西後門,成功校區 土木系-結構材料實驗室
土木系-結構材料實驗室2F,成功校區 土木系-結構材料實驗室
土木系館_正門口（防疫）,成功校區 土木系館
土木系館_東側門,成功校區 土木系館
土木系館_南側門,成功校區 土木系館
土木系館1F北側門,成功校區 土木系館
土木系館2F北側門,成功校區 土木系館
土木系館GCU,成功校區 土木系館
工科系_新館1F南館,成功校區 工程科學系館
工科系-B2停車場,成功校區 工程科學系館
工科系大門（自動門）,成功校區 工程科學系館
工科系電腦教室,成功校區 工程科學系館
工科系-舊館1F北邊門口,成功校區 工程科學系館
工科系-舊館2F北邊門口,成功校區 工程科學系館
工科系-舊館2F電子實驗室,成功校區 工程科學系館
工資管系辦公室,光復校區 工業與資訊管理系
工管系_1F61X06,光復校區 工業與資訊管理系
工管系_1F中庭門,光復校區 工業與資訊管理系
工管系_1F北側門,光復校區 工業與資訊管理系
工管系_1F西側自動門,光復校區 工業與資訊管理系
工管系_1F東南邊側門,光復校區 工業與資訊管理系
工管系_3F連通道,光復校區 工業與資訊管理系
工管系_GCU,光復校區 工業與資訊管理系
工學院科技大樓9069室,自強校區 工學院科技大樓4F
中文系GCU,光復校區 中文系
中文系大門,光復校區 中文系
中文系南邊自動門,光復校區 中文系
中正堂,光復校區 中正堂
中正堂GCU,光復校區 中正堂
化工系1F西邊後門,自強校區 化學工程系
化工系1F東邊大門,自強校區 化學工程系
化工系1F南側自動門,自強校區 化學工程系
化工系4F,自強校區 化學工程系
化工系5F軟性生醫應用研究室,自強校區 化學工程系
化工系B1自動門,自強校區 化學工程系
化工系B1系友會,自強校區 化學工程系
化工系B2安全門,自強校區 化學工程系
化工系B2自動門,自強校區 化學工程系
化工系B2貨梯旁安全門,自強校區 化學工程系
化工系西中央頂樓,自強校區 化學工程系
化工系東北頂樓,自強校區 化學工程系
化學系2F連通走道,成功校區 化學系
化學系3F連通走道,成功校區 化學系
化學系走廊門(貨梯旁),成功校區 化學系
化學系卸貨平台,成功校區 化學系
化學系南側門2,成功校區 化學系
化學系貨梯,成功校區 化學系
化學系電梯右,成功校區 化學系
化學系電梯左,成功校區 化學系
化學系舊館1F自動門,成功校區 化學系
化學系舊館1F側門,成功校區 化學系
化學棟北側門1,成功校區 化學系
化學棟北側門2,成功校區 化學系
化學棟西側門,成功校區 化學系
化學棟南側門(目前關閉),成功校區 化學系
化學棟南側門1,成功校區 化學系
文學院1F西側門,光復校區 文學院修齊大樓
文學院2F前自動門,光復校區 文學院修齊大樓
文學院2F後自動門,光復校區 文學院修齊大樓
文學院B1電梯,光復校區 文學院修齊大樓
文學院B2電梯,光復校區 文學院修齊大樓
文學院GCU,光復校區 文學院修齊大樓
水利系1F大門,成功校區 水利系
牙醫系館_GCU,成杏校區 牙醫系館
牙醫系館_大門,成杏校區 牙醫系館
牙醫系館_北側門,成杏校區 牙醫系館
牙醫系館_電梯,成杏校區 牙醫系館
外文系電腦教室,光復校區 外文系
未來館1F大門,勝利校區 未來館
未來館2F入口,勝利校區 未來館
未來館2F出口,勝利校區 未來館
未來館GCU,勝利校區 未來館
生科大樓5F儀器室89501,力行校區 生科大樓5F儀器室
生科大樓5F儀器室89502,力行校區 生科大樓5F儀器室
生科大樓5F儀器室89503,力行校區 生科大樓5F儀器室
生科產業系10F前門,力行校區 生科產業系
生科產業系10F後門,力行校區 生科產業系
生科產業系702,力行校區 生科產業系
生科產業系708,力行校區 生科產業系
生科產業系715,力行校區 生科產業系
生科產業系7F前門,力行校區 生科產業系
生科產業系7F後門,力行校區 生科產業系
生科產業系802,力行校區 生科產業系
生科產業系808,力行校區 生科產業系
生科產業系815,力行校區 生科產業系
生科產業系8F前門,力行校區 生科產業系
生科產業系8F後門,力行校區 生科產業系
生科產業系908,力行校區 生科產業系
生科產業系915,力行校區 生科產業系
生科產業系9F前門,力行校區 生科產業系
生科產業系9F後門,力行校區 生科產業系
生科產業系A02,力行校區 生科產業系
生科產業系A08,力行校區 生科產業系
生科產業系A15,力行校區 生科產業系
生科學院_南邊電梯,力行校區 生科學院1F公共門
生科學院_貨梯,力行校區 生科學院1F公共門
生科學院1F西側安全門,力行校區 生科學院1F公共門
生科學院1F東側安全門,力行校區 生科學院1F公共門
生科學院1F前門,力行校區 生科學院1F公共門
生科學院1F後門,力行校區 生科學院1F公共門
生科學院1F側門,力行校區 生科學院1F公共門
生科學院一般電梯,力行校區 生科學院1F公共門
生科學院殘障電梯,力行校區 生科學院1F公共門
交管系1F大門,光復校區 交通管理科學系
企管系_防疫讀卡機,光復校區 企管系
企管系1F大門,光復校區 企管系
企管系1F東側後門,光復校區 企管系
光一舍GCU,光復校區 光一舍
光一舍中間前門,光復校區 光一舍
光一舍中間後門,光復校區 光一舍
光一舍側門1,光復校區 光一舍
光一舍側門2,光復校區 光一舍
光一舍側門3,光復校區 光一舍
光二舍GCU,光復校區 光二舍
光二舍中間前門,光復校區 光二舍
光二舍防疫機,光復校區 光二舍
光二舍側門1,光復校區 光二舍
光二舍側門2,光復校區 光二舍
光二舍側門3,光復校區 光二舍
光二舍無障礙自動門,光復校區 光二舍
光二舍電梯B1叫車,光復校區 光二舍
光二舍電梯車箱內,光復校區 光二舍
光三舍GCU,光復校區 光三舍
光三舍大門,光復校區 光三舍
光三舍側門,光復校區 光三舍
光復司令台GCU,光復校區 司令台友善廁所
光復司令台友善廁所,光復校區 司令台友善廁所
光復前門機車-GCU,光復校區 機車通行
光復前門機車進-右,光復校區 機車通行
光復前門機車進-左,光復校區 機車通行
光復後門都計機車停車場,光復校區 機車通行
光復後門都計機車停車場-GCU,光復校區 機車通行
光復校區_雲平機車_進,光復校區 雲平機車通行
光復校區_雲平機車GCU,光復校區 雲平機車通行
地科系1F西側門,成功校區 地科系
地科系1F東側門,成功校區 地科系
地科系大門,成功校區 地科系
安南校區_水質室,安南校區 水質室
安南校區_研總大門口,安南校區 研究總中心
安南校區_研總電梯右,安南校區 研究總中心
安南校區_研總電梯左,安南校區 研究總中心
成大幼稚園_大門,成功校區 幼稚園
成大幼稚園_後門,成功校區 幼稚園
成大幼稚園_電梯,成功校區 幼稚園
成大幼稚園GCU,成功校區 幼稚園
成功校區三系館汽車,成功校區 三系館汽車
成功校區三系館汽車GCU,成功校區 三系館汽車
成功校區三系館機車GCU,成功校區 三系館機車
成功校區三系館機車-進右,成功校區 三系館機車
成功校區三系館機車-進左,成功校區 三系館機車
成杏校區前門機車-GCU,成杏校區 機車通行
成杏校區前門機車入口,成杏校區 機車通行
考古學研究所_中門,力行校區 考古學研究所
考古學研究所_圖書室,力行校區 考古學研究所
考古學研究所G1,力行校區 考古學研究所
考古學研究所-被服庫G1,力行校區 考古學研究所
考古學研究所-被服庫前門,力行校區 考古學研究所
考古學研究所-被服庫後門,力行校區 考古學研究所
考古學研究所辦公室,力行校區 考古學研究所
自強校區_奇美樓機車,自強校區 奇美樓機車通行
自強校區_奇美樓機車-GCU,自強校區 奇美樓機車通行
系統系GCU,自強校區 系統系
系統系大門,自強校區 系統系
系統系東北小門,自強校區 系統系
系統系東南自動門,自強校區 系統系
卓群大樓_土木系1F岩力走廊門,成功校區 土木系館
卓群大樓_土木系1F岩力前大門,成功校區 土木系館
卓群大樓_土木系1F南側樓梯門,成功校區 土木系館
卓群大樓_土木系1F懷恩講堂門,成功校區 土木系館
卓群大樓_土木系6F側門,成功校區 土木系館
卓群大樓1F土木環工共用 前大門,成功校區 土木系館
卓群大樓1F土木環工共用 廣場門,成功校區 土木系館
卓群大樓汽車_進,成功校區 卓群大樓汽車
卓群大樓汽車GCU,成功校區 卓群大樓汽車
卓群大樓電梯右,成功校區 土木系館
卓群大樓電梯左,成功校區 土木系館
奇美樓_4F天橋,自強校區 電機系館
奇美樓_西小門,自強校區 電機系館
奇美樓_東大門,自強校區 電機系館
奇美樓_東小門,自強校區 電機系館
奇美樓GCU,自強校區 電機系館
奇美樓防疫卡機,自強校區 電機系館
東寧校區東寧路車道,東寧校區 汽車停車場
東寧校區學人宿舍車道,東寧校區 汽車停車場
林副校長室,光復校區 林副校長室
物理二館北大門,成功校區 物理二館
物理二館南大門,成功校區 物理二館
物理系1F西側門,成功校區 物理系
物理系1F東側門,成功校區 物理系
物理系2F北側門右,成功校區 物理系
物理系2F北側門左,成功校區 物理系
物理系2F東側安全門,成功校區 物理系
物理系3F北側門,成功校區 物理系
物理系3F東側安全門,成功校區 物理系
物理系4F東側安全門,成功校區 物理系
物理系5F東側安全門,成功校區 物理系
物理系B1,成功校區 物理系
物理系B1電梯叫車,成功校區 物理系
物理系B2電梯叫車,成功校區 物理系
物理系貨梯,成功校區 物理系
物理系電梯右,成功校區 物理系
物理系電梯左,成功校區 物理系
物理棟前右門,成功校區 物理系
